JobName,NNodes,MaxVMSize,AveVMSize,MaxVMSizeNode,MaxVMSizeTask,MaxRSS,MaxRSSNode,MaxRSSTask,AveCPU,CPUTime,CPUTimeRAW,Elapsed,Start,End,State,
raxmlHPC-HYBRID-AVX,1,956144K,956144K,sdumont3185,0,46372K,sdumont3185,0,01:35:50,03:23:36,12216,00:08:29,2022-11-18T13:17:12,2022-11-18T13:25:41,COMPLETED,
1000bs-12th-aminoacido,1,,,,,,,,,03:21:12,12072,00:08:23,2022-11-18T13:21:09,2022-11-18T13:29:32,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8224K,sdumont3184,0,00:00:00,03:21:12,12072,00:08:23,2022-11-18T13:21:09,2022-11-18T13:29:32,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956144K,956144K,sdumont3184,0,46384K,sdumont3184,0,01:35:39,03:21:12,12072,00:08:23,2022-11-18T13:21:09,2022-11-18T13:29:32,COMPLETED,
1000bs-12th-aminoacido,1,,,,,,,,,03:35:36,12936,00:08:59,2022-11-18T13:24:46,2022-11-18T13:33:45,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8228K,sdumont3180,0,00:00:00,03:35:36,12936,00:08:59,2022-11-18T13:24:46,2022-11-18T13:33:45,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956148K,956148K,sdumont3180,0,46436K,sdumont3180,0,01:41:40,03:35:36,12936,00:08:59,2022-11-18T13:24:46,2022-11-18T13:33:45,COMPLETED,
1000bs-12th-aminoacido,1,,,,,,,,,03:24:24,12264,00:08:31,2022-11-18T13:25:42,2022-11-18T13:34:13,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8232K,sdumont3185,0,00:00:00,03:24:24,12264,00:08:31,2022-11-18T13:25:42,2022-11-18T13:34:13,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956156K,956156K,sdumont3185,0,46404K,sdumont3185,0,01:41:44,03:24:24,12264,00:08:31,2022-11-18T13:25:42,2022-11-18T13:34:13,COMPLETED,
2000bs-12th-aminoacido,1,,,,,,,,,06:46:00,24360,00:16:55,2022-11-18T13:29:22,2022-11-18T13:46:17,COMPLETED,
batch,1,499428K,499428K,sdumont3020,0,8236K,sdumont3020,0,00:00:00,06:46:00,24360,00:16:55,2022-11-18T13:29:22,2022-11-18T13:46:17,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956156K,956156K,sdumont3020,0,46408K,sdumont3020,0,03:17:32,06:46:00,24360,00:16:55,2022-11-18T13:29:22,2022-11-18T13:46:17,COMPLETED,
2000bs-12th-aminoacido,1,,,,,,,,,06:51:12,24672,00:17:08,2022-11-18T13:29:32,2022-11-18T13:46:40,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8240K,sdumont3184,0,00:00:00,06:51:12,24672,00:17:08,2022-11-18T13:29:32,2022-11-18T13:46:40,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956156K,956156K,sdumont3184,0,46424K,sdumont3184,0,03:23:40,06:51:12,24672,00:17:08,2022-11-18T13:29:32,2022-11-18T13:46:40,COMPLETED,
2000bs-12th-aminoacido,1,,,,,,,,,06:48:24,24504,00:17:01,2022-11-18T13:33:45,2022-11-18T13:50:46,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8232K,sdumont3180,0,00:00:00,06:48:24,24504,00:17:01,2022-11-18T13:33:45,2022-11-18T13:50:46,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956152K,956152K,sdumont3180,0,46424K,sdumont3180,0,03:23:33,06:48:24,24504,00:17:01,2022-11-18T13:33:45,2022-11-18T13:50:46,COMPLETED,
2000bs-12th-aminoacido,1,,,,,,,,,06:49:12,24552,00:17:03,2022-11-18T13:34:13,2022-11-18T13:51:16,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8224K,sdumont3185,0,00:00:00,06:49:12,24552,00:17:03,2022-11-18T13:34:13,2022-11-18T13:51:16,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956156K,956156K,sdumont3185,0,46424K,sdumont3185,0,03:23:47,06:48:48,24528,00:17:02,2022-11-18T13:34:14,2022-11-18T13:51:16,COMPLETED,
2000bs-12th-aminoacido,1,,,,,,,,,06:47:36,24456,00:16:59,2022-11-18T13:46:18,2022-11-18T14:03:17,COMPLETED,
batch,1,499428K,499428K,sdumont3020,0,8232K,sdumont3020,0,00:00:00,06:47:36,24456,00:16:59,2022-11-18T13:46:18,2022-11-18T14:03:17,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956152K,956152K,sdumont3020,0,46408K,sdumont3020,0,03:17:20,06:47:36,24456,00:16:59,2022-11-18T13:46:18,2022-11-18T14:03:17,COMPLETED,
10bs-6th-aminoacido,1,,,,,,,,,00:02:48,168,00:00:07,2022-11-18T13:46:40,2022-11-18T13:46:47,COMPLETED,
batch,1,235424K,235424K,sdumont3184,0,2528K,sdumont3184,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:46:40,2022-11-18T13:46:47,COMPLETED,
raxmlHPC-HYBRID-AVX,1,369252K,369252K,sdumont3184,0,2296K,sdumont3184,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:46:40,2022-11-18T13:46:47,COMPLETED,
10bs-6th-aminoacido,1,,,,,,,,,00:02:48,168,00:00:07,2022-11-18T13:46:48,2022-11-18T13:46:55,COMPLETED,
batch,1,300960K,300960K,sdumont3184,0,2536K,sdumont3184,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:46:48,2022-11-18T13:46:55,COMPLETED,
raxmlHPC-HYBRID-AVX,1,303716K,303716K,sdumont3184,0,2284K,sdumont3184,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:46:48,2022-11-18T13:46:55,COMPLETED,
10bs-6th-aminoacido,1,,,,,,,,,00:03:12,192,00:00:08,2022-11-18T13:46:55,2022-11-18T13:47:03,COMPLETED,
batch,1,300960K,300960K,sdumont3184,0,2544K,sdumont3184,0,00:00:00,00:03:12,192,00:00:08,2022-11-18T13:46:55,2022-11-18T13:47:03,COMPLETED,
raxmlHPC-HYBRID-AVX,1,303716K,303716K,sdumont3184,0,2284K,sdumont3184,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T13:46:56,2022-11-18T13:47:02,COMPLETED,
10bs-6th-aminoacido,1,,,,,,,,,00:02:48,168,00:00:07,2022-11-18T13:47:03,2022-11-18T13:47:10,COMPLETED,
batch,1,235424K,235424K,sdumont3184,0,2532K,sdumont3184,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:47:03,2022-11-18T13:47:10,COMPLETED,
raxmlHPC-HYBRID-AVX,1,369252K,369252K,sdumont3184,0,2300K,sdumont3184,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:47:03,2022-11-18T13:47:10,COMPLETED,
10bs-6th-aminoacido,1,,,,,,,,,00:03:12,192,00:00:08,2022-11-18T13:47:10,2022-11-18T13:47:18,COMPLETED,
batch,1,300960K,300960K,sdumont3184,0,2540K,sdumont3184,0,00:00:00,00:03:12,192,00:00:08,2022-11-18T13:47:10,2022-11-18T13:47:18,COMPLETED,
raxmlHPC-HYBRID-AVX,1,369252K,369252K,sdumont3184,0,2296K,sdumont3184,0,00:00:00,00:03:12,192,00:00:08,2022-11-18T13:47:10,2022-11-18T13:47:18,COMPLETED,
100bs-6th-aminoacido,1,,,,,,,,,00:26:00,1560,00:01:05,2022-11-18T13:47:18,2022-11-18T13:48:23,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8236K,sdumont3184,0,00:00:00,00:26:00,1560,00:01:05,2022-11-18T13:47:18,2022-11-18T13:48:23,COMPLETED,
raxmlHPC-HYBRID-AVX,1,550648K,550648K,sdumont3184,0,45628K,sdumont3184,0,00:05:56,00:26:00,1560,00:01:05,2022-11-18T13:47:18,2022-11-18T13:48:23,COMPLETED,
100bs-6th-aminoacido,1,,,,,,,,,00:26:00,1560,00:01:05,2022-11-18T13:48:23,2022-11-18T13:49:28,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8232K,sdumont3184,0,00:00:00,00:26:00,1560,00:01:05,2022-11-18T13:48:23,2022-11-18T13:49:28,COMPLETED,
raxmlHPC-HYBRID-AVX,1,550648K,550648K,sdumont3184,0,45636K,sdumont3184,0,00:05:51,00:26:00,1560,00:01:05,2022-11-18T13:48:23,2022-11-18T13:49:28,COMPLETED,
100bs-6th-aminoacido,1,,,,,,,,,00:26:24,1584,00:01:06,2022-11-18T13:49:28,2022-11-18T13:50:34,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8228K,sdumont3184,0,00:00:00,00:26:24,1584,00:01:06,2022-11-18T13:49:28,2022-11-18T13:50:34,COMPLETED,
raxmlHPC-HYBRID-AVX,1,550648K,550648K,sdumont3184,0,45632K,sdumont3184,0,00:05:50,00:26:00,1560,00:01:05,2022-11-18T13:49:29,2022-11-18T13:50:34,COMPLETED,
100bs-6th-aminoacido,1,,,,,,,,,00:25:12,1512,00:01:03,2022-11-18T13:50:34,2022-11-18T13:51:37,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8244K,sdumont3184,0,00:00:00,00:25:12,1512,00:01:03,2022-11-18T13:50:34,2022-11-18T13:51:37,COMPLETED,
raxmlHPC-HYBRID-AVX,1,550656K,550656K,sdumont3184,0,45644K,sdumont3184,0,00:05:56,00:25:12,1512,00:01:03,2022-11-18T13:50:34,2022-11-18T13:51:37,COMPLETED,
100bs-6th-aminoacido,1,,,,,,,,,00:24:48,1488,00:01:02,2022-11-18T13:50:46,2022-11-18T13:51:48,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8232K,sdumont3180,0,00:00:00,00:24:48,1488,00:01:02,2022-11-18T13:50:46,2022-11-18T13:51:48,COMPLETED,
raxmlHPC-HYBRID-AVX,1,550676K,550676K,sdumont3180,0,45668K,sdumont3180,0,00:05:57,00:24:48,1488,00:01:02,2022-11-18T13:50:46,2022-11-18T13:51:48,COMPLETED,
1000bs-6th-aminoacido,1,,,,,,,,,04:08:00,14880,00:10:20,2022-11-18T13:51:17,2022-11-18T14:01:37,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8232K,sdumont3185,0,00:00:00,04:08:00,14880,00:10:20,2022-11-18T13:51:17,2022-11-18T14:01:37,COMPLETED,
